Tienda;SKU;ssf
E502;1247757;12000
E503;1247757;12000
E504;1247757;12000
E507;1247757;12000
E508;1247757;12000
E510;1247757;12000
E511;1247757;12000
E512;1247757;12000
E513;1247757;12000
E514;1247757;12000
E517;1247757;12000
E518;1247757;12000
E520;1247757;12000
E521;1247757;12000
E522;1247757;12000
E524;1247757;12000
E525;1247757;12000
E529;1247757;12000
E534;1247757;12000
E585;1247757;12000
E591;1247757;12000
E592;1247757;12000
E614;1247757;12000
E633;1247757;12000
E643;1247757;12000
E646;1247757;12000
E655;1247757;12000
E659;1247757;12000
E760;1247757;12000
E781;1247757;12000
E843;1247757;12000
E900;1247757;12000
E983;1247757;12000
E988;1247757;12000
E990;1247757;12000
E619;1247757;12000
E506;1247757;12000
E775;1247757;12000
E748;1247757;12000
E874;1247757;12000
E502;1315105;12000
E503;1315105;12000
E504;1315105;12000
E507;1315105;12000
E508;1315105;12000
E510;1315105;12000
E511;1315105;12000
E512;1315105;12000
E513;1315105;12000
E514;1315105;12000
E517;1315105;12000
E518;1315105;12000
E520;1315105;12000
E521;1315105;12000
E522;1315105;12000
E524;1315105;12000
E525;1315105;12000
E529;1315105;12000
E534;1315105;12000
E585;1315105;12000
E591;1315105;12000
E592;1315105;12000
E614;1315105;12000
E633;1315105;12000
E643;1315105;12000
E646;1315105;12000
E655;1315105;12000
E659;1315105;12000
E760;1315105;12000
E781;1315105;12000
E843;1315105;12000
E900;1315105;12000
E983;1315105;12000
E988;1315105;12000
E990;1315105;12000
E619;1315105;12000
E506;1315105;12000
E775;1315105;12000
E748;1315105;12000
E874;1315105;12000
E502;1315106;12000
E503;1315106;12000
E504;1315106;12000
E507;1315106;12000
E508;1315106;12000
E510;1315106;12000
E511;1315106;12000
E512;1315106;12000
E513;1315106;12000
E514;1315106;12000
E517;1315106;12000
E518;1315106;12000
E520;1315106;12000
E521;1315106;12000
E522;1315106;12000
E524;1315106;12000
E525;1315106;12000
E529;1315106;12000
E534;1315106;12000
E585;1315106;12000
E591;1315106;12000
E592;1315106;12000
E614;1315106;12000
E633;1315106;12000
E643;1315106;12000
E646;1315106;12000
E655;1315106;12000
E659;1315106;12000
E760;1315106;12000
E781;1315106;12000
E843;1315106;12000
E900;1315106;12000
E983;1315106;12000
E988;1315106;12000
E990;1315106;12000
E619;1315106;12000
E506;1315106;12000
E775;1315106;12000
E748;1315106;12000
E874;1315106;12000
E502;1169216;12000
E503;1169216;12000
E504;1169216;12000
E507;1169216;12000
E508;1169216;12000
E510;1169216;12000
E511;1169216;12000
E512;1169216;12000
E513;1169216;12000
E514;1169216;12000
E517;1169216;12000
E518;1169216;12000
E520;1169216;12000
E521;1169216;12000
E522;1169216;12000
E524;1169216;12000
E525;1169216;12000
E529;1169216;12000
E534;1169216;12000
E585;1169216;12000
E591;1169216;12000
E592;1169216;12000
E614;1169216;12000
E633;1169216;12000
E643;1169216;12000
E646;1169216;12000
E655;1169216;12000
E659;1169216;12000
E760;1169216;12000
E781;1169216;12000
E843;1169216;12000
E900;1169216;12000
E983;1169216;12000
E988;1169216;12000
E990;1169216;12000
E619;1169216;12000
E506;1169216;12000
E775;1169216;12000
E748;1169216;12000
E874;1169216;12000
