sellers;sku_sap;stock_seguridad
E525;152015;10000
E525;152177;10000
E525;237207;10000
E525;764827;10000
E525;811172;10000
E525;821517;10000
E525;825630;10000
E525;871133;10000
E525;869029;10000
E525;871114;10000
E525;871115;10000
E525;887094;10000
E525;887638;10000
E525;888021;10000
E525;888022;10000
E525;892035;10000
E525;892756;10000
E525;895075;10000
E525;900747;10000
E525;910518;10000
E525;931903;10000
E525;938637;10000
E525;938631;10000
E525;941232;10000
E525;1017727;10000
E525;1031170;10000
E525;1031171;10000
E525;1037602;10000
E525;1044815;10000
E525;1046527;10000
E525;1064334;10000
E525;1069408;10000
E525;1069416;10000
E525;1080194;10000
E525;1082274;10000
E525;1085602;10000
E525;1097456;10000
E525;1100197;10000
E525;1099810;10000
E525;1099811;10000
E525;1101306;10000
E525;1101490;10000
E525;1102945;10000
E525;1106176;10000
E525;1110906;10000
E525;1118038;10000
E525;1119913;10000
E525;1122662;10000
E525;1122678;10000
E525;1122680;10000
E525;1126202;10000
E525;1127774;10000
E525;1128745;10000
E525;1128714;10000
E525;1128715;10000
E525;1128716;10000
E525;1130512;10000
E525;1136919;10000
E525;1141840;10000
E525;1146297;10000
E525;1149190;10000
E525;1149767;10000
E525;1149770;10000
E525;1155414;10000
E525;1157432;10000
E525;1159171;10000
E525;1159277;10000
E525;1159280;10000
E525;1159283;10000
E525;1159286;10000
E525;1159287;10000
E525;1159288;10000
E525;1159289;10000
E525;1161908;10000
E525;1165393;10000
E525;1167317;10000
E525;1171787;10000
E525;1171788;10000
E525;1171786;10000
E525;1172365;10000
E525;1172366;10000
E525;1173811;10000
E525;1173812;10000
E525;1173814;10000
E525;1173514;10000
E525;1173516;10000
E525;1174383;10000
E525;1174385;10000
E525;1174387;10000
E525;1180506;10000
E525;1181829;10000
E525;1181691;10000
E525;1186669;10000
E525;1190684;10000
E525;1193113;10000
E525;1193114;10000
E525;1193115;10000
E525;1193116;10000
E525;1193995;10000
E525;1197860;10000
E525;1207174;10000
E525;1207649;10000
E525;1207785;10000
E525;1208385;10000
E525;1208354;10000
E525;1211035;10000
E525;1217163;10000
E525;1220454;10000
E525;1226222;10000
E525;1226997;10000
E525;1232461;10000
E525;1243836;10000
E525;1247274;10000
E525;1249488;10000
E525;1249489;10000
E525;1250000;10000
E525;1251362;10000
E525;1259609;10000
E525;1259611;10000
E525;1266017;10000
E525;1267261;10000
E525;1269037;10000
E525;1277087;10000
E525;1279365;10000
E525;1279384;10000
E525;1279178;10000
E525;1279776;10000
E525;1280897;10000
E525;1280898;10000
E525;1280903;10000
E525;1282298;10000
E525;1282319;10000
E525;1282592;10000
E525;1284012;10000
E525;1284642;10000
E525;1284871;10000
E525;1284863;10000
E525;1284866;10000
E525;1284867;10000
E525;1284868;10000
E525;1285857;10000
E525;1286818;10000
E525;1290825;10000
E525;1290826;10000
E525;1290827;10000
E525;1290829;10000
E525;1291943;10000
E525;1292780;10000
E525;1293114;10000
E525;1293979;10000
E525;1293980;10000
E525;1293477;10000
E525;1294424;10000
E525;1294804;10000
E525;1296958;10000
E525;1296960;10000
E525;1297261;10000
E525;1299320;10000
E525;1299321;10000
E525;1300106;10000
E525;1301692;10000
E525;1302926;10000
E525;1303331;10000
E525;1304494;10000
E525;1306429;10000
E525;1308047;10000
E525;1309428;10000
E525;1309608;10000
E525;1313246;10000
E525;1313247;10000
E525;1313250;10000
E525;1313251;10000
E525;1313688;10000
E525;1314245;10000
E525;1314246;10000
E525;1314605;10000
E525;1314613;10000
E525;1314618;10000
E525;1314620;10000
E525;1314621;10000
E525;1314629;10000
E525;1315026;10000
E525;1332027;10000
E525;1332028;10000
E525;1332595;10000
E525;1333386;10000
E525;1336351;10000
E525;1335661;10000
