sellers;sku_sap;stock_seguridad
E525;820577;10000
E525;820578;10000
E525;931581;10000
E525;1119216;10000
E525;1133135;10000
E525;1133136;10000
E525;1144303;10000
E525;1144308;10000
E525;1144309;10000
E525;1144310;10000
E525;1144311;10000
E525;1144312;10000
E525;1144313;10000
E525;1144316;10000
E525;1144320;10000
E525;1144322;10000
E525;1161517;10000
E525;1161518;10000
E525;1161519;10000
E525;1161538;10000
E525;1161539;10000
E525;1167269;10000
E525;1210147;10000
E525;1210148;10000
E525;1211544;10000
E525;1228313;10000
E525;1254889;10000
E525;1254891;10000
E525;1254892;10000
E525;1254894;10000
E525;1254898;10000
E525;1271963;10000
E525;1308319;10000
E525;1308320;10000
E525;1308321;10000
E525;1317362;10000
E525;1336300;10000
E525;1336301;10000
E525;1336303;10000
E525;1336304;10000
E525;1336305;10000
E525;1336306;10000
E525;1356298;10000
E525;9002173;10000
E525;9004626;10000
E525;9004638;10000
E525;9004639;10000
E525;9004640;10000
E525;9004641;10000
E525;9004642;10000
E525;9004643;10000
E525;9004646;10000
E525;9004648;10000
E525;9004649;10000
E525;9004650;10000
E525;9004624;10000
E525;9004625;10000
E525;9004810;10000
E525;157728;10000
E525;157722;10000
E525;157723;10000
E525;157724;10000
E525;157725;10000
E525;581336;10000
E525;677713;10000
E525;826149;10000
E525;826150;10000
E525;826152;10000
E525;1161524;10000
E525;1161528;10000
E525;1161532;10000
E525;1161540;10000
E525;1174751;10000
E525;1174752;10000
E525;1176853;10000
E525;1177080;10000
E525;1177081;10000
E525;1177083;10000
E525;1197577;10000
E525;1199433;10000
E525;1251049;10000
E525;1259683;10000
E525;1259680;10000
E525;1317361;10000
E525;1349892;10000
E525;1349893;10000
E525;1355623;10000
E525;1355624;10000
E525;1189799003;10000
E525;1189799002;10000
E525;1189799001;10000
E525;158263;10000
E525;158181;10000
E525;158184;10000
E525;400500;10000
E525;826135;10000
E525;826136;10000
E525;1045957;10000
E525;1117938;10000
E525;1119232;10000
E525;1119235;10000
E525;1119238;10000
E525;1119211;10000
E525;1152016;10000
E525;1152017;10000
E525;1162929;10000
E525;1162930;10000
E525;1169780;10000
E525;1174753;10000
E525;1174754;10000
E525;1174755;10000
E525;1174756;10000
E525;1174757;10000
E525;1174758;10000
E525;1174759;10000
E525;1174760;10000
E525;1174761;10000
E525;1174762;10000
E525;1174763;10000
E525;1174764;10000
E525;1189798;10000
E525;1232828;10000
E525;1232829;10000
E525;1232830;10000
E525;1232831;10000
E525;1232832;10000
E525;1254893;10000
E525;1298529;10000
E525;1298530;10000
E525;1308039;10000
E525;1308318;10000
E525;1320223;10000
E525;1320224;10000
E525;1320225;10000
E525;1346982;10000
E525;1348927;10000
E525;1348928;10000
E525;1348929;10000
E525;1348930;10000
E525;1348931;10000
E525;1348932;10000
E525;1355904;10000
E525;1355905;10000
E525;1355906;10000
E525;1355907;10000
E525;1355908;10000
E525;1355909;10000
