Seller;Articulo;Stock;warehouse
E599;90773;0;0001
E599;131213;0;0001
E599;169521;0;0001
E599;447220;0;0001
E599;447667;0;0001
E599;447671;0;0001
E599;447672;0;0001
E599;453284;0;0001
E599;468561;0;0001
E599;497070;0;0001
E599;530765;0;0001
E599;530767;0;0001
E599;530771;0;0001
E599;551502;0;0001
E599;563021;0;0001
E599;571768;0;0001
E599;619812;0;0001
E599;621605;0;0001
E599;629125;0;0001
E599;761206;0;0001
E599;800015;0;0001
E599;811532;0;0001
E599;814674;0;0001
E599;815712;0;0001
E599;817248;0;0001
E599;817261;0;0001
E599;817264;0;0001
E599;819057;0;0001
E599;819293;0;0001
E599;819294;0;0001
E599;821703;0;0001
E599;821704;0;0001
E599;831012;0;0001
E599;843339;0;0001
E599;843349;0;0001
E599;843668;0;0001
E599;850511;0;0001
E599;863652;0;0001
E599;869001;0;0001
E599;876567;0;0001
E599;877001;0;0001
E599;878246;0;0001
E599;885038;0;0001
E599;886787;0;0001
E599;889010;0;0001
E599;889501;0;0001
E599;889503;0;0001
E599;889504;0;0001
E599;889505;0;0001
E599;889506;0;0001
E599;889537;0;0001
E599;899476;0;0001
E599;903776;0;0001
E599;905652;0;0001
E599;910559;0;0001
E599;912200;0;0001
E599;918234;0;0001
E599;918330;0;0001
E599;919010;0;0001
E599;927936;0;0001
E599;928249;0;0001
E599;930712;0;0001
E599;930909;0;0001
E599;935432;0;0001
E599;935433;0;0001
E599;935434;0;0001
E599;935439;0;0001
E599;938725;0;0001
E599;939008;0;0001
E599;939617;0;0001
E599;1008729;0;0001
E599;1008965;0;0001
E599;1009047;0;0001
E599;1016324;0;0001
E599;1018373;0;0001
E599;1025592;0;0001
E599;1028852;0;0001
E599;1041071;0;0001
E599;1041113;0;0001
E599;1041994;0;0001
E599;1043952;0;0001
E599;1045604;0;0001
E599;1045935;0;0001
E599;1046850;0;0001
E599;1050132;0;0001
E599;1050693;0;0001
E599;1053305;0;0001
E599;1055026;0;0001
E599;1056205;0;0001
E599;1056206;0;0001
E599;1056208;0;0001
E599;1060312;0;0001
E599;1060314;0;0001
E599;1060315;0;0001
E599;1060329;0;0001
E599;1060403;0;0001
E599;1060405;0;0001
E599;1061097;0;0001
E599;1062900;0;0001
E599;1062901;0;0001
E599;1066400;0;0001
E599;1066420;0;0001
E599;1066421;0;0001
E599;1067907;0;0001
E599;1074205;0;0001
E599;1076281;0;0001
E599;1076349;0;0001
E599;1076427;0;0001
E599;1076552;0;0001
E599;1081149;0;0001
E599;1081150;0;0001
E599;1081168;0;0001
E599;1081361;0;0001
E599;1081362;0;0001
E599;1081364;0;0001
E599;1081476;0;0001
E599;1087100;0;0001
E599;1087553;0;0001
E599;1090478;0;0001
E599;1090541;0;0001
E599;1090738;0;0001
E599;1090769;0;0001
E599;1094875;0;0001
E599;1094877;0;0001
E599;1094878;0;0001
E599;1094879;0;0001
E599;1095230;0;0001
E599;1095231;0;0001
E599;1096261;0;0001
E599;1099492;0;0001
E599;1100594;0;0001
E599;1104973;0;0001
E599;1109924;0;0001
E599;1110460;0;0001
E599;1111037;0;0001
E599;1111115;0;0001
E599;1111683;0;0001
E599;1113701;0;0001
E599;1113748;0;0001
E599;1114503;0;0001
E599;1119958;0;0001
E599;1119962;0;0001
E599;1121204;0;0001
E599;1121225;0;0001
E599;1121602;0;0001
E599;1124034;0;0001
E599;1124207;0;0001
E599;1126792;0;0001
E599;1126864;0;0001
E599;1127227;0;0001
E599;1128387;0;0001
E599;1128389;0;0001
E599;1129760;0;0001
E599;1129991;0;0001
E599;1129992;0;0001
E599;1130833;0;0001
E599;1131162;0;0001
E599;1131310;0;0001
E599;1132821;0;0001
E599;1132824;0;0001
E599;1132857;0;0001
E599;1132867;0;0001
E599;1133113;0;0001
E599;1133116;0;0001
E599;1134257;0;0001
E599;1134258;0;0001
E599;1135527;0;0001
E599;1137848;0;0001
E599;1138600;0;0001
E599;1140947;0;0001
E599;1141519;0;0001
E599;1141712;0;0001
E599;1142218;0;0001
E599;1142932;0;0001
E599;1143326;0;0001
E599;1144230;0;0001
E599;1144447;0;0001
E599;1145079;0;0001
E599;1145080;0;0001
E599;1147075;0;0001
E599;1147999;0;0001
E599;1148034;0;0001
E599;1148261;0;0001
E599;1148529;0;0001
E599;1149243;0;0001
E599;1149627;0;0001
E599;1151664;0;0001
E599;1154078;0;0001
E599;1154323;0;0001
E599;1154324;0;0001
E599;1154330;0;0001
