Seller;Codigo;S.Seg.;warehouse
E599;1044515;30;0003
E599;1046530;4;0003
E599;1046533;7;0003
E599;1049618;30;0003
E599;1059865;6;0003
E599;1062912;9;0003
E599;1066415;8;0003
E599;1069408;30;0003
E599;1088113;30;0003
E599;1097496;7;0003
E599;1114530;30;0003
E599;1117399;8;0003
E599;1119216;30;0003
E599;1119232;30;0003
E599;1119235;28;0003
E599;1119294;11;0003
E599;1119673001;3;0003
E599;1124973001;30;0003
E599;1125228001;30;0003
E599;1125228006;30;0003
E599;1125294;30;0003
E599;1125296;4;0003
E599;1125401001;30;0003
E599;1125401006;30;0003
E599;1125403001;30;0003
E599;1125432;12;0003
E599;1127888;30;0003
E599;1127889;30;0003
E599;1130517;30;0003
E599;1135451;3;0003
E599;1136224;30;0003
E599;1143814;30;0003
E599;1149767;30;0003
E599;1155050;30;0003
E599;1155605;23;0003
E599;1160636;7;0003
E599;1164381;9;0003
E599;1169216;30;0003
E599;1173010;30;0003
E599;1173132;30;0003
E599;1173222;30;0003
E599;1181190;18;0003
E599;1181191;15;0003
E599;1184677;30;0003
E599;1184747;13;0003
E599;1184748;30;0003
E599;1185516;30;0003
E599;1185519;16;0003
E599;1185846;11;0003
E599;1189439;24;0003
E599;1189639;28;0003
E599;1190684;30;0003
E599;1190870;9;0003
E599;1191270008;10;0003
E599;1191272001;7;0003
E599;1192166;30;0003
E599;1192168;30;0003
E599;1193627002;3;0003
E599;1193995;30;0003
E599;1194224;30;0003
E599;1194847;3;0003
E599;1194892;23;0003
E599;1194893;30;0003
E599;1194920;30;0003
E599;1194921;30;0003
E599;1194922;4;0003
E599;1194926;30;0003
E599;1194927;30;0003
E599;1194928;30;0003
E599;1194935;10;0003
E599;1194936;25;0003
E599;1196434;17;0003
E599;1197860;30;0003
E599;1198174;19;0003
E599;1200447;16;0003
E599;1201759;13;0003
E599;1201765;30;0003
E599;1203550;30;0003
E599;1203684;30;0003
E599;1204610;6;0003
E599;1204711;30;0003
E599;1204714;27;0003
E599;1204715;30;0003
E599;1204718;24;0003
E599;1204725;5;0003
E599;1204732;10;0003
E599;1205512;30;0003
E599;1208392;30;0003
E599;1210468;30;0003
E599;1210472;30;0003
E599;1216101;13;0003
E599;1216824;14;0003
E599;1219211;30;0003
E599;1228825;30;0003
E599;1228969;30;0003
E599;1229413;30;0003
E599;1229622;20;0003
E599;1229860;28;0003
E599;1230815;30;0003
E599;1233380;8;0003
E599;1233909;30;0003
E599;1234274;30;0003
E599;1240532;8;0003
E599;1241095;23;0003
E599;1241225;11;0003
E599;1241843;11;0003
E599;1243154;4;0003
E599;1243843;30;0003
E599;1249136;30;0003
E599;1252893;19;0003
E599;1253326;14;0003
E599;1253327;8;0003
E599;1254097;30;0003
E599;1256639;30;0003
E599;1256640;30;0003
E599;1256641;4;0003
E599;1256717;30;0003
E599;1256767;30;0003
E599;1260281;30;0003
E599;1261378;30;0003
E599;1263108;30;0003
E599;1263109;30;0003
E599;1263110;30;0003
E599;1263986;23;0003
E599;1264542;30;0003
E599;1264543;30;0003
E599;1265100;30;0003
E599;1265389;6;0003
E599;1266125;30;0003
E599;1267261;30;0003
E599;1269046;3;0003
E599;1269433;30;0003
E599;1271246;24;0003
E599;1272506;30;0003
E599;1272826;30;0003
E599;1274226;30;0003
E599;1274693;3;0003
E599;1276834;30;0003
E599;1277568;30;0003
E599;1277571;30;0003
E599;1277574;30;0003
E599;1277575;30;0003
E599;1279441;30;0003
E599;1279777;30;0003
E599;1280292;30;0003
E599;1280892;30;0003
E599;1280977;8;0003
E599;1282319;30;0003
E599;1284441;22;0003
E599;1285269;30;0003
E599;1285286;30;0003
E599;1286424;30;0003
E599;1286899;30;0003
E599;1287636;26;0003
E599;1288562;29;0003
E599;1288711;21;0003
E599;1288712;16;0003
E599;1288713;5;0003
E599;1288715;10;0003
