Seller;Articulo;Stock  seg.;Stock
E599001;1317966;90000;328
E599001;1279342;90000;1200
E599001;1279344;90000;2004
E599001;1279391;90000;1320
E599001;1281626;90000;104
E599001;1286430;90000;552
E599001;1286434;90000;240
E599001;1318612;90000;6
E599001;1319420;90000;244
E599001;1319474;90000;108
E599001;1337345;90000;1008
E599001;1310635;90000;235
E599001;1318281;90000;432
E599001;1318286;90000;240
E599001;1319073;90000;1008
E599001;1302971;90000;600
E599001;1302995;90000;1088
E599001;1279762;90000;828
E599001;1301086;90000;620
E599001;1310410;90000;1888
E599001;1333975;90000;2004
E599001;1333999;90000;996
E599001;1334002;90000;996
E599001;1334004;90000;996
E599001;1334007;90000;996
E599001;1315890;90000;5
E599001;1333443;90000;1600
E599001;1336728;90000;400
E599001;1337707;90000;300
E599001;1322955;90000;1032
E599001;1316262;90000;228
E599001;1336919;90000;3024
E599001;1336932;90000;1512
E599001;1318024;90000;42
E599001;1321110;90000;35
E599001;1287783;90000;6
E599001;1332325;90000;1224
E599001;1624614;90000;1
E599001;9001783;90000;680
E599001;1215224;90000;41
E599001;1215979;90000;36
E599001;1318611;90000;800
E599001;1318613;90000;155
E599001;1299292;90000;872
E599001;1215227;90000;12
E599001;1303498;90000;72
E599001;1337211;90000;1200
E599001;1337243;90000;2016
E599001;1337270;90000;1536
E599001;1303384;90000;708
E599001;1315966;90000;7
E599001;1219581;90000;42
E599001;1316727;90000;19
E599001;1241082;90000;6
E599001;1299293;90000;868
E599001;1337372;90000;816
E599001;1241075;90000;12
E599001;1336947;90000;1800
E599001;1336961;90000;980
E599001;1310713;90000;2196
E599001;1310714;90000;1281
E599001;1310716;90000;2496
E599001;1271115;90000;4608
E599001;1336946;90000;1008
E599001;1336973;90000;2208
E599001;1279251;90000;1018
E599001;1337319;90000;1008
E599001;1337325;90000;1000
E599001;1337327;90000;2016
E599001;1337343;90000;1200
E599001;1315868;90000;70
E599001;1315891;90000;19
E599001;1332327;90000;32
E599001;1334803;90000;600
E599001;1279341;90000;1
E599001;1277126;90000;924
E599001;1184601;90000;312
E599001;1277761;90000;1
E599001;1305614;90000;36
E599001;1319687;90000;1
E599001;1319688;90000;5
E599001;1333442;90000;600
E599001;1333449;90000;240
E599001;1333471;90000;1200
E599001;1300067;90000;810
E599001;1333968;90000;996
E599001;1333996;90000;996
E599001;1334001;90000;996
E599001;1334008;90000;996
E599001;1334104;90000;666
E599001;1310715;90000;3024
E599001;9000785;90000;1264
E599001;1302968;90000;4
E599001;1302975;90000;7992
E599001;1333171;90000;306
E599001;1337221;90000;600
E599001;1337251;90000;3312
E599001;1279252;90000;1164
E599001;1286753;90000;480
E599001;1301089;90000;388
E599001;1216700;90000;1487
E599001;1326315;90000;3440
E599001;1333196;90000;600
E599001;1333217;90000;2004
E599001;9001648;90000;1320
E599001;1319065;90000;1008
E599001;1319902;90000;35
E599001;1279206;90000;540
E599001;1287694;90000;300
E599001;1236923;90000;160
E599001;1333174;90000;270
E599001;1333183;90000;270
E599001;1333190;90000;270
E599001;1333192;90000;270
E599001;1333232;90000;3600
E599001;1333081;90000;142
E599001;1318141;90000;2412
E599001;1333709;90000;720
E599001;1333710;90000;1800
E599001;1333712;90000;1800
E599001;1333713;90000;1800
E599001;1333714;90000;720
E599001;1333776;90000;1008
E599001;1336183;90000;1308
E599001;1337107;90000;1200
E599001;1337117;90000;2400
E599001;9000709;90000;530
E599001;9000741;90000;280
E599001;9000706;90000;820
E599001;1905531;90000;1
E599001;1318131;90000;2412
E599001;1333649;90000;380
E599001;1999447;90000;11
E599001;1253067;90000;36
E599001;1169395;90000;40
E599001;887446;90000;32
E599001;1334446;90000;68
E599001;1336185;90000;3408
E599001;1337092;90000;2000
E599001;1215888;90000;616
E599001;1215898;90000;2016
E599001;1337324;90000;1008
E599001;1157900;90000;1116
E599001;1337329;90000;1536
E599001;1337344;90000;1200
E599001;1337347;90000;1008
E599001;1337373;90000;816
E599001;1333775;90000;1008
E599001;1333777;90000;1200
E599001;1334478;90000;1008
E599001;1188042;90000;10
E599001;1188045;90000;25
E599001;1333632;90000;510
E599001;1333633;90000;510
E599001;1333639;90000;270
E599001;1333650;90000;580
E599001;1236860;90000;720
E599001;1331532;90000;120
E599001;1302098;90000;650
E599001;1336181;90000;3024
E599001;1336182;90000;4160
E599001;1336187;90000;3312
E599001;1337122;90000;1008
E599001;9004010;90000;2200
E599001;9006935;90000;846
E599001;1213027;90000;4
E599001;1334409;90000;660
E599001;1305534;90000;45
E599001;9007452;90000;848
E599001;1206821;90000;408
E599001;1262096;90000;6
E599001;1237151;90000;138
E599001;1237157;90000;2596
E599001;1248020;90000;296
E599001;1224839;90000;1
E599001;1278213;90000;120
E599001;1301307;90000;50
E599001;1282704;90000;2600
E599001;1319513;90000;96
E599001;1317963;90000;8
E599001;1317970;90000;132
E599001;9003998;90000;156
E599001;9003999;90000;960
E599001;1275402;90000;12
E599001;1278025;90000;48
E599001;1280932;90000;2448
E599001;1282568;90000;7440
E599001;1333439;90000;712
E599001;1333444;90000;534
E599001;1336920;90000;5424
E599001;1278745;90000;120
E599001;1333438;90000;456
E599001;1257069;90000;504
E599001;1262230;90000;24
E599001;1288911;90000;25
E599001;1309467;90000;960
E599001;1309469;90000;528
E599001;1310341;90000;180
E599001;1278013;90000;17
E599001;1318027;90000;556
E599001;1316261;90000;228
E599001;1300074;90000;420
E599001;1303722;90000;53
E599001;1319684;90000;4
E599001;1309466;90000;480
E599001;1309471;90000;528
E599001;1292265;90000;28
E599001;1300066;90000;1650
E599001;1317195;90000;5
E599001;1317918;90000;24
E599001;1336721;90000;675
E599001;1337378;90000;1416
E599001;1336730;90000;600
E599001;1336735;90000;540
E599001;1309468;90000;396
E599001;1309470;90000;1056
E599001;1282629;90000;12
E599001;1336935;90000;300
E599001;1262162;90000;144
E599001;1302969;90000;12
E599001;1303000;90000;6
E599001;1128316;90000;350
E599001;1279525;90000;1128
E599001;1318025;90000;532
E599001;1336964;90000;1500
E599001;1319683;90000;3
E599001;1319692;90000;5
E599001;1333988;90000;1000
E599001;1333991;90000;996
E599001;1334005;90000;996
E599001;1334013;90000;996
E599001;1334014;90000;996
E599001;1310708;90000;878
E599001;1333339;90000;196
E599001;1333995;90000;996
E599001;1334003;90000;996
E599001;1334006;90000;996
E599001;1334009;90000;996
E599001;1334011;90000;996
E599001;1334017;90000;996
E599001;1336725;90000;1129
E599001;1332324;90000;1224
E599001;1337241;90000;3024
E599001;1337222;90000;600
E599001;1322954;90000;1008
E599001;1279479;90000;66
E599001;1300060;90000;856
E599001;1304301;90000;60
E599001;1332315;90000;18
E599001;1332318;90000;4320
E599001;1332320;90000;1782
E599001;1333170;90000;306
E599001;1334805;90000;600
E599001;1336933;90000;504
E599001;1336963;90000;2010
E599001;1336966;90000;2928
E599001;1336967;90000;4032
E599001;1336968;90000;2640
E599001;1336972;90000;1512
E599001;1336720;90000;3504
E599001;1336736;90000;290
E599001;1337401;90000;1008
E599001;1279340;90000;4
E599001;1184529;90000;12
E599001;1336934;90000;800
E599001;1317965;90000;352
E599001;1321113;90000;35
E599001;1173072;90000;864
E599001;1333974;90000;2004
E599001;1333993;90000;996
E599001;1334000;90000;996
E599001;1315917;90000;21
E599001;1317711;90000;605
E599001;1279343;90000;250
E599001;1184592;90000;24
E599001;1184593;90000;264
E599001;1337185;90000;816
E599001;1337216;90000;768
E599001;1333979;90000;882
E599001;1333981;90000;600
E599001;1333994;90000;996
E599001;1333997;90000;996
E599001;1333998;90000;996
E599001;1334010;90000;996
E599001;1334012;90000;996
E599001;1181513;90000;556
E599001;1292149;90000;1
E599001;1277233;90000;1
E599001;1286754;90000;984
E599001;1216702;90000;5792
E599001;1212126;90000;456
E599001;1293393;90000;912
E599001;1126286001;90000;552
E599001;1126286002;90000;1152
E599001;1126286003;90000;624
E599001;1283919;90000;2172
E599001;1170044;90000;31
E599001;1173063;90000;29
E599001;1181944;90000;291
E599001;1169605;90000;2100
E599001;1173058;90000;96
E599001;9000028;90000;32
E599001;9000037;90000;936
E599001;1279207;90000;540
E599001;1175791;90000;320
E599001;1288113;90000;1
E599001;1225569;90000;12
E599001;1294097;90000;375
E599001;1286429;90000;2688
