sellers;sku_sap;stock_seguridad
E874;381798;15
E874;381819;15
E879;1081817;15
E879;108202;15
E879;1082028;15
E879;1082029;15
E879;108203;15
E879;1082031;15
E879;108210;15
E879;108213;15
E879;108215;15
E879;108216;15
E879;108217;15
E879;1082171;15
E879;1082172;15
E879;108218;15
E879;108219;15
E879;108220;15
E879;108223;15
E879;108224;15
E879;1082269;15
E879;108227;15
E879;1082273;15
E879;1082274;15
E879;108239;15
E879;108240;15
E879;108247;15
E879;1082518;15
E879;1082523;15
E879;108257;15
E879;1082617;15
E879;1082708;15
E879;1082715;15
E879;1082739;15
E879;1082740;15
E879;1082741;15
E879;1082742;15
E879;1082745;15
E879;1082747;15
E879;1082751;15
E879;1082785;15
E879;1082787;15
E879;1082907;15
E879;1082924;15
E879;1082925;15
E879;1082951;15
E879;1083004;15
E879;1083026;15
E879;1083030;15
E879;1083037;15
E879;1083038;15
E879;1083039;15
E879;1083040;15
E879;1083041;15
E879;1083042;15
E879;1083043;15
E879;1083044;15
E879;1083045;15
E879;1083046;15
E879;1083048;15
E879;1083049;15
E879;1083050;15
E879;1083051;15
E879;1083052;15
E879;1083053;15
E879;1083055;15
E879;1083056;15
E879;1083057;15
E879;1083058;15
E879;1083059;15
E879;1083060;15
E879;1083061;15
E879;1083062;15
E879;1083063;15
E879;1083066;15
E879;1083067;15
E879;108308;15
E879;108309;15
E879;1090891;15
E879;1090892;15
E879;1090893;15
E879;1090894;15
E879;1090895;15
E879;1090896;15
E879;1090897;15
E879;1090898;15
E879;1090899;15
E879;1090908001;15
E879;1090908002;15
E879;1090908003;15
E879;1090908004;15
E879;1090908005;15
E879;1127230;15
E879;1127259;15
E879;1127267;15
E879;1127276;15
E879;1127277;15
E879;1127406;15
E879;1127475;15
E879;1127478;15
E879;1127490;15
E879;1127571;15
E879;1127572;15
E879;1127573;15
E879;1127574;15
E879;1127575;15
E879;1127576;15
E879;1127577;15
E879;1127578;15
E879;1127579;15
E879;1127580;15
E879;1127583;15
E879;1127584;15
E879;1127585;15
E879;1127703;15
E879;1127713;15
E879;1127715;15
E879;1127746;15
E879;1127747;15
E879;1127748;15
E879;1127749;15
E879;1127750;15
E879;1127751;15
E874;816635;15
E879;1127752;15
E879;1127753;15
E879;1127774;15
E879;1127825;15
E879;1127826;15
E879;1127827;15
E879;1127828;15
E879;1159282;15
E879;1159283;15
E879;1159286;15
E879;1159287;15
E879;1159288;15
E879;1159289;15
E879;1159290;15
E879;1159415;15
E879;1159416;15
E879;1159417;15
E879;1159418;15
E879;1159425001;15
E879;1159425002;15
E879;1159425003;15
E879;1159474;15
E879;1159477001;15
E879;1159477002;15
E879;1159477003;15
E879;1159492;15
E879;1159642001;15
E879;1159642002;15
E879;1159642003;15
E879;1159643001;15
E879;1159643002;15
E879;1159643003;15
E879;1159647001;15
E879;1159647002;15
E879;1159647003;15
E879;1159647004;15
E879;1159658;15
E599;10000000;15;0001
